Variable,Salt marsh creek,Salt/brackish flow-through stream,Freshwater tidal
Constriction ratio,11.84,14.93,18.18
Tidal constriction,19.58,20.04,10.49
Vegetation change,14.32,8.07,4.9
High tide water depth,2.41,2.55,2.45
Downstream scour,5.84,6.22,6.64
Upstream scour,5.84,6.22,4.9
Low tide inlet perch,3.51,5.45,5.94
Low tide outlet perch,9.81,10.95,11.19
Inlet armoring,4.01,1.47,3.15
Outlet armoring,3.53,1.11,4.2
Openness,9.97,9.51,16.08
Substrate comparability,4.88,7.31,5.94
Substrate coverage,4.47,6.18,5.94
